,broj_tema,avg_rezultata,posto_poz,posto_neg
2017-10-09,5,-0.2232334017753601,0.4,0.6
2017-10-10,27,-0.5528191902019359,0.2222222222222222,0.7777777777777778
2017-10-11,35,-0.6535125511033194,0.17142857142857143,0.8285714285714286
2017-10-12,29,-0.5700117390731285,0.20689655172413793,0.7931034482758621
2017-10-13,20,-0.5972388356924057,0.2,0.8
2017-10-14,26,-0.5597000741041623,0.19230769230769232,0.8076923076923077
2017-10-15,18,-0.7666453884707557,0.1111111111111111,0.8888888888888888
2017-10-17,30,-0.6628365536530813,0.16666666666666666,0.8333333333333334
2017-10-18,25,-0.5330842328071594,0.24,0.76
2017-10-19,25,-0.8205906343460083,0.08,0.92
2017-10-21,16,-0.16794945299625397,0.4375,0.5625
2017-10-22,48,-0.8095698207616806,0.08333333333333333,0.9166666666666666
2017-10-23,55,-0.7303251179781827,0.12727272727272726,0.8727272727272727
2017-10-24,5,-0.686298668384552,0.2,0.8
2017-10-25,77,-0.6734816393294891,0.15584415584415584,0.8441558441558441
2017-10-26,39,-0.6804438172242581,0.15384615384615385,0.8461538461538461
2017-10-27,12,-0.7838858813047409,0.08333333333333333,0.9166666666666666
2017-10-28,28,-0.7073312125035695,0.14285714285714285,0.8571428571428571
2017-10-29,40,-0.6220305174589157,0.175,0.825
2017-10-30,39,-0.820182720820109,0.07692307692307693,0.9230769230769231
2017-10-31,5,-0.9934648633003235,0.0,1.0
2017-11-01,49,-0.6281180272296983,0.16326530612244897,0.8367346938775511
2017-11-02,27,-0.6486950671231305,0.18518518518518517,0.8148148148148148
2017-11-03,26,-0.6552222508650559,0.15384615384615385,0.8461538461538461
2017-11-04,14,-0.8357629776000977,0.07142857142857142,0.9285714285714286
2017-11-05,15,-0.3634703596433004,0.3333333333333333,0.6666666666666666
2017-11-06,25,-0.744869408607483,0.12,0.88
2017-11-07,6,-0.6613041559855143,0.16666666666666666,0.8333333333333334
2017-11-08,34,-0.4795675663387074,0.2647058823529412,0.7352941176470589
2017-11-09,40,-0.8314479842782021,0.075,0.925
2017-11-10,40,-0.5856257885694504,0.2,0.8
2017-11-11,27,-0.8202544252077738,0.07407407407407407,0.9259259259259259
