,broj_tema,avg_rezultata,posto_poz,posto_neg
2017-10-15,20.428571428571427,-0.6098540247885722,0.1849026106168963,0.8150973893831036
2017-10-16,17.428571428571427,-0.5555883026630062,0.1440862840862841,0.713056573056573
2017-10-17,16.857142857142858,-0.5467418978072442,0.1486871582523756,0.7084556988904814
2017-10-18,17.142857142857142,-0.5374678981950398,0.1537291750590983,0.7034136820837588
2017-10-19,16.285714285714285,-0.5735579117217746,0.1378561591860824,0.7192866979567746
2017-10-20,16.285714285714285,-0.5075024163233894,0.1735704449003681,0.6835724122424889
2017-10-21,15.0,-0.4730141516088815,0.1965180854950676,0.6606247716477895
2017-10-22,19.714285714285715,-0.4901507733659754,0.1867643909137868,0.6703784662290703
2017-10-23,22.857142857142858,-0.6062639716339245,0.1997514039007997,0.8002485960992002
2017-10-24,25.0,-0.6164571562025111,0.195011292753366,0.8049887072466341
2017-10-25,27.857142857142858,-0.6322603176128565,0.1845638705412378,0.8154361294587621
2017-10-26,33.857142857142854,-0.5803608362254911,0.2099606959380633,0.7900393040619367
2017-10-27,32.0,-0.6949732138277179,0.145674981652349,0.8543250183476508
2017-10-28,34.285714285714285,-0.7478732525233387,0.1168998352301437,0.8831001647698562
2017-10-29,35.285714285714285,-0.7194750417893113,0.1314886946465893,0.8685113053534107
2017-10-30,34.285714285714285,-0.7251161753371725,0.1280254911833859,0.8719745088166141
2017-10-31,34.42857142857143,-0.7323884060242856,0.1236877236877237,0.8763122763122764
2017-11-01,35.0,-0.7315214069648164,0.1214276238666482,0.8785723761333518
2017-11-02,30.857142857142858,-0.7088471238633712,0.1317450841841085,0.8682549158158915
2017-11-03,33.285714285714285,-0.633153023527624,0.1734117508507752,0.8265882491492248
2017-11-04,32.142857142857146,-0.6187255122277805,0.1803381577771821,0.8196618422228179
2017-11-05,26.428571428571427,-0.5990728715392303,0.1926458500848744,0.8073541499151256
2017-11-06,28.571428571428573,-0.5896868466667682,0.1974077548467792,0.8025922451532208
2017-11-07,23.142857142857142,-0.634352488285504,0.1754297328687572,0.8245702671312427
2017-11-08,22.857142857142858,-0.618920440321222,0.1874908424908425,0.8125091575091575
2017-11-09,28.0,-0.6655710129499871,0.1655128205128205,0.8344871794871794
2017-11-10,28.571428571428573,-0.609386095616407,0.1952747252747252,0.8047252747252748
2017-11-11,30.714285714285715,-0.6154639705578923,0.1917032967032967,0.8082967032967032
2017-11-12,36.85714285714285,-0.6355622394685085,0.1805268261150614,0.8194731738849386
2017-11-13,37.57142857142857,-0.6084135169609929,0.1948125404007757,0.8051874595992243
2017-11-14,45.57142857142857,-0.5410076446339483,0.2273939940348608,0.7726060059651391
2017-11-15,49.285714285714285,-0.5235505477603262,0.2361852028260697,0.7638147971739303
